drug_a,drug_b,text,label,text_length,freq_drug_a,freq_drug_b
clotrimazole,tamoxifen,The serum concentration of the active metabolites of Tamoxifen can be reduced when Tamoxifen is used in combination with Clotrimazole resulting in a loss in efficacy.,1,166,85,250
moexipril,meloxicam,The risk or severity of adverse effects can be increased when Moexipril is combined with Meloxicam.,1,99,216,175
cyproheptadine,doxepin,The risk or severity of adverse effects can be increased when Cyproheptadine is combined with Doxepin.,1,102,147,370
gliclazide,penbutolol,Gliclazide may increase the hypoglycemic activities of Penbutolol.,1,66,212,295
nisoldipine,lopinavir,The metabolism of Lopinavir can be decreased when combined with Nisoldipine.,1,76,209,612
cabergoline,lapatinib,The risk or severity of adverse effects can be increased when Cabergoline is combined with Lapatinib.,1,101,410,227
oxazepam,lovastatin,The metabolism of Lovastatin can be decreased when combined with Oxazepam.,1,74,314,598
prednisone,amiodarone,The serum concentration of Amiodarone can be increased when it is combined with Prednisone.,1,91,199,646
cimetidine,corticorelin ovine triflutate,no interaction known or reported,0,32,76,81
suvorexant,zuclopenthixol,Suvorexant may increase the central nervous system depressant (CNS depressant) activities of Zuclopenthixol.,1,108,344,157
glycopyrronium,tioconazole,no interaction known or reported,0,32,108,72
meperidine,sorafenib,The metabolism of Sorafenib can be decreased when combined with Meperidine.,1,75,413,325
rufinamide,midazolam,The risk or severity of adverse effects can be increased when Rufinamide is combined with Midazolam.,1,100,277,125
chlorpheniramine,dronedarone,The metabolism of Dronedarone can be decreased when combined with Chlorpheniramine.,1,83,172,514
buspirone,trimipramine,The risk or severity of adverse effects can be increased when Buspirone is combined with Trimipramine.,1,102,380,341
lumiracoxib,ticlopidine,The metabolism of Ticlopidine can be decreased when combined with Lumiracoxib.,1,78,249,678
paritaprevir,atomoxetine,The metabolism of Atomoxetine can be decreased when combined with Paritaprevir.,1,79,81,617
lumacaftor,spironolactone,no interaction known or reported,0,32,592,178
clonixin,tixocortol,The risk or severity of adverse effects can be increased when Clonixin is combined with Tixocortol.,1,99,147,132
loxapine,risperidone,The risk or severity of adverse effects can be increased when Loxapine is combined with Risperidone.,1,100,262,335
cefmetazole,glimepiride,no interaction known or reported,0,32,30,149
imiquimod,iloperidone,no interaction known or reported,0,32,110,336
rosuvastatin,procarbazine,no interaction known or reported,0,32,340,167
sulfacytine,oxymetazoline,no interaction known or reported,0,32,30,61
ponatinib,duloxetine,The metabolism of Duloxetine can be decreased when combined with Ponatinib.,1,75,167,519
eltrombopag,losartan,The metabolism of Losartan can be decreased when combined with Eltrombopag.,1,75,59,365
phenindione,olopatadine,Phenindione may increase the anticoagulant activities of Olopatadine.,1,69,359,390
ubidecarenone,methazolamide,The serum concentration of Methazolamide can be increased when it is combined with Ubidecarenone.,1,97,302,216
amiodarone,ritonavir,The serum concentration of Ritonavir can be increased when it is combined with Amiodarone.,1,90,252,355
tadalafil,ketoconazole,The serum concentration of Ketoconazole can be increased when it is combined with Tadalafil.,1,92,216,706
selegiline,amyl nitrite,The risk or severity of adverse effects can be increased when Selegiline is combined with Amyl Nitrite.,1,103,423,190
posaconazole,vinblastine,The risk or severity of adverse effects can be increased when Posaconazole is combined with Vinblastine.,1,104,97,91
etoricoxib,rilpivirine,no interaction known or reported,0,32,300,175
tianeptine,fosamprenavir,The serum concentration of Fosamprenavir can be increased when it is combined with Tianeptine.,1,94,133,527
pipotiazine,methylphenidate,The risk or severity of adverse effects can be increased when Pipotiazine is combined with Methylphenidate.,1,107,208,245
nevirapine,topiroxostat,The metabolism of Topiroxostat can be decreased when combined with Nevirapine.,1,78,579,271
conivaptan,palonosetron,The serum concentration of Palonosetron can be increased when it is combined with Conivaptan.,1,93,586,106
cocaine,cetirizine,The risk or severity of adverse effects can be increased when Cocaine is combined with Cetirizine.,1,98,187,216
codeine,fexofenadine,The risk or severity of adverse effects can be increased when Codeine is combined with Fexofenadine.,1,100,357,286
carprofen,fluticasone furoate,The risk or severity of adverse effects can be increased when Carprofen is combined with Fluticasone furoate.,1,109,185,151
sertindole,loratadine,The risk or severity of adverse effects can be increased when Sertindole is combined with Loratadine.,1,101,246,258
ropivacaine,etizolam,The risk or severity of adverse effects can be increased when Ropivacaine is combined with Etizolam.,1,100,398,209
isocarboxazid,selexipag,Isocarboxazid may increase the hypotensive activities of Selexipag.,1,67,293,196
olodaterol,tolbutamide,The metabolism of Tolbutamide can be decreased when combined with Olodaterol.,1,77,107,304
omeprazole,amphetamine,Omeprazole can cause an increase in the absorption of Amphetamine resulting in an increased serum concentration and potentially a worsening of adverse effects.,1,159,162,142
molindone,methylphenidate,The risk or severity of adverse effects can be increased when Molindone is combined with Methylphenidate.,1,105,141,245
lorcaserin,cholecalciferol,The metabolism of Cholecalciferol can be decreased when combined with Lorcaserin.,1,81,210,384
ixazomib,ceritinib,The serum concentration of Ceritinib can be increased when it is combined with Ixazomib.,1,88,189,613
pitavastatin,repaglinide,The serum concentration of Repaglinide can be increased when it is combined with Pitavastatin.,1,94,298,138
dorzolamide,anidulafungin,no interaction known or reported,0,32,184,56
valproic acid,remoxipride,The risk or severity of adverse effects can be increased when Valproic acid is combined with Remoxipride.,1,105,264,155
minocycline,hexoprenaline,no interaction known or reported,0,32,67,53
paraldehyde,promethazine,Paraldehyde may increase the central nervous system depressant (CNS depressant) activities of Promethazine.,1,107,296,344
nintedanib,digoxin,Nintedanib may decrease the cardiotoxic activities of Digoxin.,1,62,132,304
mexiletine,nicardipine,The metabolism of Nicardipine can be decreased when combined with Mexiletine.,1,77,129,548
etidocaine,lormetazepam,The risk or severity of adverse effects can be increased when Etidocaine is combined with Lormetazepam.,1,103,144,202
metipranolol,ouabain,Metipranolol may increase the bradycardic activities of Ouabain.,1,64,190,319
acenocoumarol,phenprocoumon,Acenocoumarol may increase the anticoagulant activities of Phenprocoumon.,1,73,425,77
lanreotide,sulfamethoxazole,Lanreotide may increase the hypoglycemic activities of Sulfamethoxazole.,1,72,75,302
caffeine,pyrimethamine,The metabolism of Pyrimethamine can be decreased when combined with Caffeine.,1,77,165,242
trametinib,ixabepilone,no interaction known or reported,0,32,46,54
silodosin,atomoxetine,The metabolism of Atomoxetine can be decreased when combined with Silodosin.,1,76,326,617
methotrexate,ranolazine,The serum concentration of Ranolazine can be increased when it is combined with Methotrexate.,1,93,161,488
fospropofol,methocarbamol,The risk or severity of adverse effects can be increased when Fospropofol is combined with Methocarbamol.,1,105,151,216
triamcinolone,pyridostigmine,The risk or severity of adverse effects can be increased when Triamcinolone is combined with Pyridostigmine.,1,108,210,82
ibrutinib,amlodipine,The serum concentration of Amlodipine can be increased when it is combined with Ibrutinib.,1,90,354,236
methyclothiazide,oxybutynin,The serum concentration of Oxybutynin can be increased when it is combined with Methyclothiazide.,1,97,212,122
ranolazine,flibanserin,The risk or severity of adverse effects can be increased when Ranolazine is combined with Flibanserin.,1,102,285,295
mycophenolic acid,estradiol,The serum concentration of Estradiol can be decreased when it is combined with Mycophenolic acid.,1,97,190,179
haloprogin,lercanidipine,The risk or severity of adverse effects can be increased when Haloprogin is combined with Lercanidipine.,1,104,59,210
reboxetine,nilotinib,The metabolism of Nilotinib can be decreased when combined with Reboxetine.,1,75,86,544
sotalol,silodosin,Sotalol may increase the orthostatic hypotensive activities of Silodosin.,1,73,320,76
cariprazine,terbinafine,The metabolism of Terbinafine can be decreased when combined with Cariprazine.,1,78,141,260
paliperidone,dolasetron,Paliperidone may increase the QTc-prolonging activities of Dolasetron.,1,70,374,120
topotecan,vemurafenib,The serum concentration of Vemurafenib can be increased when it is combined with Topotecan.,1,91,255,356
buspirone,metronidazole,no interaction known or reported,0,32,380,142
levobunolol,carprofen,Levobunolol may decrease the antihypertensive activities of Carprofen.,1,70,157,170
lumefantrine,mirtazapine,Lumefantrine may increase the QTc-prolonging activities of Mirtazapine.,1,71,182,179
pentoxifylline,ambrisentan,Pentoxifylline may increase the hypotensive activities of Ambrisentan.,1,70,189,174
entacapone,cobicistat,no interaction known or reported,0,32,123,635
ivermectin,penbutolol,no interaction known or reported,0,32,89,295
halcinonide,lisinopril,no interaction known or reported,0,32,122,223
cyclizine,almasilate,no interaction known or reported,0,32,77,87
methohexital,perphenazine,The risk or severity of adverse effects can be increased when Methohexital is combined with Perphenazine.,1,105,458,133
betamethasone,gliquidone,The therapeutic efficacy of Gliquidone can be decreased when used in combination with Betamethasone.,1,100,164,137
paraldehyde,flurazepam,Paraldehyde may increase the central nervous system depressant (CNS depressant) activities of Flurazepam.,1,105,296,104
magnesium sulfate,erythromycin,The metabolism of Erythromycin can be decreased when combined with Magnesium sulfate.,1,85,110,532
calcium gluconate,ergocalciferol,The risk or severity of adverse effects can be increased when Calcium gluconate is combined with Ergocalciferol.,1,112,107,62
lamivudine,eltrombopag,The serum concentration of Eltrombopag can be increased when it is combined with Lamivudine.,1,92,41,150
doxorubicin,dobutamine,no interaction known or reported,0,32,375,118
sulfamoxole,quinine,The metabolism of Quinine can be decreased when combined with Sulfamoxole.,1,74,86,343
busulfan,isradipine,The metabolism of Isradipine can be decreased when combined with Busulfan.,1,74,138,602
reboxetine,atazanavir,The metabolism of Atazanavir can be decreased when combined with Reboxetine.,1,76,86,597
bupivacaine,triamterene,The risk or severity of adverse effects can be increased when Bupivacaine is combined with Triamterene.,1,103,431,153
imatinib,thiothixene,no interaction known or reported,0,32,148,224
candesartan cilexetil,mersalyl,The risk or severity of hypotension can be increased when Candesartan cilexetil is combined with Mersalyl.,1,106,263,64
flunitrazepam,ethotoin,The risk or severity of adverse effects can be increased when Flunitrazepam is combined with Ethotoin.,1,102,266,238
empagliflozin,clindamycin,no interaction known or reported,0,32,98,70
losartan,ethanolamine oleate,no interaction known or reported,0,32,288,34
proparacaine,hydroxyzine,Proparacaine may increase the central nervous system depressant (CNS depressant) activities of Hydroxyzine.,1,107,190,342
